Restaurant Name,place_id,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
Ammakase,ChIJHUoAagAZ2jER6NJwt-Dpn7M,"#04-48, One Raffles Place, 048616, Singapore",Singapore,Central,3,Fine Dining,103.851094,1.284513,8898 5275,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ammakase,https://www.ammakase.com/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","In case you're curious about the name (or perhaps you guessed), this place serves a 6- to 10-course omakase-style tasting menu, showcasing diverse flavours from across India. Chef Robin champions a refined take on Indian cuisine, using solid French techniques and ingredients from West Bengal, Gujarat and Sri Lanka. Elegant smaller dishes are meticulously prepared for a balance of flavours. Perfectly paired with their Indian-inspired cocktails.",A,0,33,4.61,good,0.6122,excellent,0.8174,good,0.9564,4.18,4.7,4.06
Anglo Indian (Shenton Way),ChIJ2atmAhIZ2jERQplFzS1Yits,"#01-08, 1 Shenton Way, 068803, Singapore",Singapore,Central,2,Cafe,103.85043,1.279361,6636 9411,https://guide.michelin.com/en/singapore-region/singapore/restaurant/anglo-indian-shenton-way,https://www.angloindian.com.sg,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","If there is one dish that customers expect to find in a restaurant called Anglo Indian, it is chicken tikka masala, and, sure enough, it is a bestseller in this simply decorated eatery in the heart of the CBD. The dining room may only seat 20, but there is a large outdoor terrace that is often packed. Other popular choices from the sensibly priced menu include butter chicken and mutton dum biryani. The weekday lunch is a steal.",A,0,26,3.69,good,0.7806,excellent,0.6454,good,0.884,3.38,3.69,3.38
Ann Chin Handmade Popiah,ChIJEZhVk2sZ2jERgg4cqj4gPGY,"Chinatown Complex Market & Food Centre, #02-112, 335 Smith Street, 050335, Singapore",Singapore,Central,1,Street Food,103.8433404,1.2820232,8189 4699,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ann-chin-handmade-popiah,https://www.annchinpopiah.com.sg/,Selected Restaurants,"Takeaway,Delivery,Cash only","Popiah filled with ingredients such as eggs, shrimp, carrot, peanuts, etc. affords rich, varied flavours. The deep-fried spring rolls are crispy on the outside, juicy on the inside and loaded with big-boned oomph.",A,0,25,4.32,good,0.6892,excellent,0.5956,good,0.8942,3.56,4.44,3.88
Ar Er Soup,ChIJnT901Fsb2jERwaVDhPWcI9o,"ABC Brickworks Market & Food Centre, #01-141, Blk 6 Jalan Bukit Merah, 150006, Singapore",Singapore,Central,1,Street Food,103.8081238,1.2868701,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ar-er-soup,https://maps.app.goo.gl/6FztKkd8GW78jJEP8,Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","Eight kinds of MSG-free slow-boiled soups, including the signature ginseng Silkie chicken soup that boasts a mild herbal taste are on the menu here. All are served with pumpkin rice or steamed rice. Come early to beat the crowds.",A,0,26,4.35,good,0.7325,excellent,0.5725,good,0.8344,3.69,4.42,3.96
Araya,ChIJZXWDPcYZ2jERTnbzNEZ_hDE,"Mondrian Duxton, #01-08, 83 Neil Road, 089813, Singapore",Singapore,Central,4,Chilean,103.841816,1.278868,8870 0871,https://guide.michelin.com/en/singapore-region/singapore/restaurant/araya,https://arayarestaurant.com/,1 Star,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Chilean chefs Araya and Guerrero worked at the same restaurant in China. Their ingenious creations – deeply influenced by Araya's time in Spain and Japan – use an eclectic mix of Chilean and Japanese produce, with a South Pacific theme. Japanese favourites such as kinki and cod milt are jazzed up by aji amarillo and merkén from Chile, served alongside French pigeon and caviar. They even ferment and roast their own cacao to use in sauces.",A,0,29,4.48,good,0.6188,excellent,0.7493,good,0.8317,3.9,4.48,4.03
Aunty Oats Pancake,ChIJv08VTj8Y2jERmNIY1jFBOZU,"51 Old Airport Road Food Centre, #01-110, 51 Old Airport Road, 390051, Singapore",Singapore,Central,1,Street Food,103.8857344,1.3083574,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/aunty-oats-pancake,https://maps.app.goo.gl/LiEpg7oioG2w78338,Selected Restaurants,"Dine-in,Takeaway,Coffee","Fluffy and spongy pancakes are made to order with a wheat flour batter and no eggs. Vegan fillings include shredded coconut, red bean paste, and peanuts. Lacto vegetarians may go for cheese or chocolate filling.",A,0,26,4.54,good,0.7413,good,0.6045,good,0.9109,3.69,3.96,3.69
Bahrakath Mutton Soup,ChIJv4Mk4QYa2jER3mvQRS4vAMA,"Adam Food Centre, #01-10, 2 Adam Road, 289876, Singapore",Singapore,Central,1,Street Food,103.814139,1.324031,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bahrakath-mutton-soup,https://maps.app.goo.gl/PVkpb3YZ4YvAzLacA,Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","Since 1973, this stall has been serving its secret mutton soup recipe. The broth is rich, dense, and full of herbal flavours. Apart from the popular leg, also try other lamb cuts. Order bread to mop up the broth.",B,1,23,3.7,good,0.6311,good,0.3714,good,0.8602,3.48,4.09,3.96
Bar-Roque Grill,ChIJKZoOX2sZ2jERhJqFXCG1oAw,"165 Tanjong Pagar Road, 088539, Singapore",Singapore,Central,2,Steak House,103.843511,1.2755732,6444 9672,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bar-roque-grill,https://www.stefanandnico.com,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Credit cards,NFC payments,Wheelchair accessible","The Alsace-born chef takes diners on a culinary journey to his homeland with authentic regional specialties such as choucroute garnie and tarte flambée aux escargots. International dishes are also popular, like Malaysian rotisserie free-range chicken and a selection of beefsteaks dry aged in-house and chargrilled to perfection. Service is attentive and helpful. Start or end the night with a drink on the terrace or at the bar.",A,0,28,5.0,good,0.7173,excellent,0.8672,good,0.9297,4.29,4.57,4.11
Beach Road Fish Head Bee Hoon,ChIJpf2Iv9kZ2jER87KuaXAPp84,"Whampoa Makan Place, #01-46, 90/91 Whampoa Drive 91, 320091, Singapore",Singapore,Central,1,Street Food,103.8548346,1.3232442,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/beach-road-fish-head-bee-hoon,https://maps.app.goo.gl/xQ9Y2vCFYYsEreuz8,Bib Gourmand,"Dine-in,Takeaway,Wine","The sliced fish bee hoon (rice vermicelli) comes in a flavourful, milky fish stock, with fried garlic bits for extra fragrance and crunch. Also worth trying are the tom yam soup, seafood soup and fried fish head bee hoon.",A,0,27,4.44,good,0.6289,good,0.4403,good,0.8356,3.63,4.07,3.7
Bedok Chwee Kueh,ChIJFyWmOLMi2jER5cArXeh7JHQ,"Bedok Interchange Hawker Centre, #01-19, 208 New Upper Changi Road, 460208, Singapore",Singapore,East,1,Street Food,103.9306756,1.3249411,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bedok-chwee-kueh,https://maps.app.goo.gl/gAS9v82FrjsFWuNi6,Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The freshly steamed chwee kueh rice cakes are soft and velvety and the sauce on top made with preserved radish, scallion, dried shrimps and chilli is simply irresistible. May be closed without prior notice.",A,0,29,2.9,good,0.6749,good,0.5532,good,0.7127,3.03,3.07,3.07
Belimbing,ChIJTb3JFDIZ2jERUA_GspxrHpk,"Level 2, 269A Beach Road, 199546, Singapore",Singapore,Central,2,Singaporean,103.8601196,1.3008122,8869 7243,https://guide.michelin.com/en/singapore-region/singapore/restaurant/belimbing,https://www.lobehold.com/concepts/belimbing/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Belimbing refers to ""starfruit"", a versatile ingredient in Asian cooking. The bustling open kitchen is set against sage green walls and wood trims that impart serenity. The menu features traditional Singaporean fare with creative twists. Corn salat is a nod to kueh salat, reimagined with sweet corn and brown butter for nutty, toasty sweetness. Paired with assam pedas and white pepper sauce, the silky clam custard boasts layers of flavour.",B,1,28,4.64,good,0.6372,excellent,0.5976,good,0.9309,3.82,4.5,4.11
Bhoomi,ChIJGcjOMWcZ2jERj5AHsaL4zGE,"#01-05, 1 Claymore Drive, 229594, Singapore",Singapore,Central,2,Indian,103.829378,1.307339,6225 4221,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bhoomi-1218260,https://bhoomi.sg,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Solid wood furniture, rattan pendant lamps and wagon wheel chandeliers impart modern boho chic in this bright, cosy space with two levels. The chef recounts his memories and personal story through a menu that encompasses meat dishes, as well as vegetarian, gluten-free and vegan options. Inspired by Indian street food, the signature Indori beetroot tikki is big on flavours with a hint of sweetness from the corn.",B,1,24,4.96,excellent,0.7125,excellent,0.8571,good,0.9499,4.42,4.88,4.12
Birds Of Paradise (Katong),ChIJm-8AiHIY2jERf0IR8Y0-SNo,"#01-05, 63 East Coast Road, 428776, Singapore",Singapore,Central,1,Street Food,103.9035725,1.3052429,9678 6092,https://guide.michelin.com/en/singapore-region/singapore/restaurant/birds-of-paradise,https://birdsofparadise.sg,Selected Restaurants,"Takeaway,Delivery,Credit cards,NFC payments,Wheelchair accessible","A mesmerising array of top-quality gelato and sorbet is served in house-made thyme-scented waffle cones. Sea salt hojicha, white chrysanthemum, and raspberry lychee are some of its outstanding offerings.",B,1,21,4.57,good,0.6548,excellent,0.7004,good,0.8243,3.62,4.48,3.9
Bismillah Biryani (Little India),ChIJ_Zh0qbkZ2jERUOVEa0m0ahs,"50 Dunlop Street, 209379, Singapore",Singapore,Central,1,Street Food,103.8536,1.304989,6935 1326,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bismillah-biryani,https://www.bismillahbiryani.com/,Bib Gourmand,"Dine-in,Takeaway,Delivery,Coffee,NFC payments","Biryani is the standout dish in this place specialising in North Indian food. The lamb shank biryani is recommended for its fork-tender texture and meaty flavour. Haleem, mutton nihari and aloo gobi are also good choices.",B,1,28,4.11,good,0.6981,excellent,0.5674,good,0.8729,3.57,4.11,3.71
Bistro Gaston,ChIJ7agS6l8Z2jERr8aASVBKXtw,"25 Keong Saik Road, 089132, Singapore",Singapore,Central,2,French,103.8414273,1.2798386,6909 8120,https://guide.michelin.com/en/singapore-region/singapore/restaurant/gaston,https://www.bistrogaston.sg,Selected Restaurants,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","This relaxing, inviting bistro serves classic French fare that impresses with its mindful preparation, solid skills and exceptional quality. A Burgundian himself, the friendly owner fashions a menu that captures the best-known recipes of his home region, including oeuf en meurette, beef bourguignon and pôchouse, alongside classic sweets such as profiteroles and Paris-Brest. The well-curated wine list covers a wide selection of Burgundian labels.",A,0,23,4.61,good,0.7295,excellent,0.7763,good,0.9893,3.83,4.52,3.91
Boon Tong Kee (Balestier Road),ChIJ7wTBRt8Z2jERQO-YNjVAXyI,"399, 401, 403 Balestier Road, 329801, Singapore",Singapore,Central,1,Chinese,103.8495,1.3255796,6254 3937,https://guide.michelin.com/en/singapore-region/singapore/restaurant/boon-tong-kee-balestier-road,https://boontongkee.com.sg/,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Coffee,Credit cards,NFC payments","You won’t have any trouble finding this enduringly popular restaurant – its colourful neon sign will guide you in from afar. The group may have expanded over the years but this is the original branch, opened in 1983. Their signature boiled chicken, which boosts succulent and tender meat, is still the biggest draw and comes in three different sizes, but those looking for a full zi char feast won’t be disappointed. Avoid peak times if you’re not prepared to queue.",A,0,18,3.44,good,0.6959,excellent,0.4154,good,0.7327,3.0,3.56,3.56
Boon Tong Kee Kway Chap,ChIJDcuaEYMZ2jERI9lM6fTySWM,"Zion Riverside Food Centre, #024, 70 Zion Road, 247792, Singapore",Singapore,Central,1,Street Food,103.8311181,1.2924249,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/boon-tong-kee-kway-chap%E2%80%A7braised-duck,https://maps.app.goo.gl/gX5tm4LSWJVkK5LQ6,Selected Restaurants,"Dine-in,Takeaway,Outdoor seating,Wheelchair accessible","Boon Tong Kee prides itself on its spiced soy marinade made with aromatic Chinese herbs. With its springy skin and tasty meat, the signature braised duck is a hit. The braised pork trotter and taro rice are also popular.",A,0,29,3.9,good,0.6412,excellent,0.5187,good,0.8016,3.28,3.59,3.72
Brasserie Astoria Singapore,ChIJz467uSEZ2jERd6bgM7zCILo,"Victoria Concert Hall, #01-01, 11 Empress Place, 179558, Singapore",Singapore,Central,2,European,103.85171,1.28801,9619 1567,https://guide.michelin.com/en/singapore-region/singapore/restaurant/brasserie-astoria-1209987,https://www.brasserieastoria.sg/,Selected Restaurants,"Dine-in,Takeaway,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","An outpost of its namesake in Stockholm, this is the brainchild of the Swedish owner-chef Björn Frantzén. Nestled in the historical Victoria Concert Hall (1800s), its retro glamour complements the chef's new spin on brasserie classics, some with trolley or tableside service. Try the råraka, a Swedish potato cake topped with vendace roe, crème fraîche, chives and red onion. Toast Astoria with prawn, king crab and wasabi aioli is also unmissable.",A,0,25,4.36,good,0.703,excellent,0.8261,good,0.8509,3.68,4.32,3.88
Buko Nero,ChIJ5cofIm0Z2jERz8SqoZropF0,"126 Tanjong Pagar Road, 088534, Singapore",Singapore,Central,2,Italian,103.84357,1.277667,6324 6225,https://guide.michelin.com/en/singapore-region/singapore/restaurant/buko-nero,https://www.bukonero.com.sg/,Selected Restaurants,"Dine-in,Takeaway,Reservations,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Diners flock to this small neighbourhood joint and it’s easy to understand why: the bubbly, charming hostess works seamlessly with her husband chef from Veneto, who in turn delivers simple, delicious Italian fare with subtle Asian twists. Try his tau kwa tower – an appetising mix of sautéed Italian-style greens and Singaporean dried tofu salad in a tangy Asian dressing. Hand-made pasta is another highlight, as are the weekly specials.",A,0,29,4.69,good,0.7367,excellent,0.7886,good,0.9004,3.69,4.62,4.03
Buona Terra,ChIJJfTNnu0Z2jERbnACwz4zeuk,"29 Scotts Road, 228224, Singapore",Singapore,Central,3,Italian,103.8348231,1.3107414,9456 3147,https://guide.michelin.com/en/singapore-region/singapore/restaurant/buona-terra,https://www.buonaterra.com.sg,1 Star,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","The entrance to this intimate restaurant in a refurbished colonial house is flanked by an imposing display of wine bottles, including many interesting Italian vintages. The interior is elegantly furnished with refined contemporary charm. They serve set menus comprising impeccably executed dishes. Signatures include house-made tagliatelle with freshly shaved and intensely aromatic white truffle. Wine list comes with options of Italian labels, natural wine and whisky flyer.",A,0,25,4.2,good,0.7225,excellent,0.8014,good,0.9306,3.68,4.08,3.72
Burnt Ends,ChIJLZ9DYnIZ2jERQ51Am7WzJLM,"#01-04, 7 Dempsey Road, 249671, Singapore",Singapore,Central,3,Barbecue,103.8086664,1.3048886,6224 3933,https://guide.michelin.com/en/singapore-region/singapore/restaurant/burnt-ends-1200777,https://burntends.com.sg,1 Star,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Years ago, the Aussie owner-chef David Pynt opened a pop-up in London called Burnt Enz to great acclaim. Then his refined barbecue food cooked in a wood-fire brick kiln was taken up a notch with Burnt Ends in Singapore. In 2021, it moved to this location, twice as big as its previous space. The small but interesting snack menu is worth exploring. Meats and fish are well complemented by the Australian wines on offer. Book ahead to secure a table.",B,1,27,3.81,good,0.6835,excellent,0.7153,good,0.875,3.52,3.93,3.85
Butcher's Block,ChIJxa9_D1cZ2jERvqas0i6h4oY,"Raffles Arcade, #02-02, 328 North Bridge Road, 188719, Singapore",Singapore,Central,3,Steak House,103.8538526,1.2953284,6412 1816,https://guide.michelin.com/en/singapore-region/singapore/restaurant/butcher-s-block,https://www.butchersblock.com.sg,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Wood-fire cooking is the speciality of this dark and handsome restaurant within Raffles hotel. Head straight to the tasting menu if you want to experience a variety of top-quality fish and meat dishes, all expertly prepared using American wood and supplemented with Asian flavours. The moodily lit room ensures your gaze never wanders too far from the open kitchen. A restaurant to appeal to the hunter-gatherer in all of us.",A,0,30,4.7,excellent,0.6738,excellent,0.9045,good,0.9284,4.07,4.73,4.1
CUT by Wolfgang Puck,ChIJnWdQKQQZ2jERxH3g-HsHchE,"The Shoppes at Marina Bay Sands, Galleria Level, #B1-71, 10 Bayfront Avenue, 018972, Singapore",Singapore,Central,3,Steak House,103.8597843,1.2857261,6688 8517,https://guide.michelin.com/en/singapore-region/singapore/restaurant/cut,https://wolfgangpuck.com/restaurants/cut-singapore/,1 Star,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Synonymous with quality steaks with big flavours, celebrity chef Wolfgang Puck is a seal of confidence for this outpost of his famed namesake in LA. Here steaks are expertly seasoned, chargrilled and finished off under a 1200-degree broiler to leave them juicy and tender. Don’t forget to order the amazing onion rings with your steak. The wine list offers over 650 labels and a cocktail at the bar while waiting for your table adds to the experience.",B,1,26,4.54,good,0.7154,excellent,0.818,good,0.869,3.77,4.5,4.12
Candlenut,ChIJ5ySHC3IZ2jERu-xiMMTjAVE,"17A Dempsey Road, 249676, Singapore",Singapore,Central,2,Peranakan,103.8100724,1.3058588,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/candlenut,https://www.comodempsey.sg/restaurant/candlenut,1 Star,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","The lofty room feels airy, while bamboo and rattan details impart serenity. Influenced by his mother and grandma, the chef cooks traditional Peranakan fare with a creative twist and an Indonesian touch. In addition to à la carte dishes that are served communal style, the tasting menu features 10+ courses that change every two months; many are one-bite dishes with unique flavours and textures.",A,0,27,4.15,good,0.689,excellent,0.7255,good,0.895,3.7,4.04,3.78
Ce Soir,ChIJDXnRsjcb2jERiBydCxYnw1E,"#01-03, 5B Portsdown Road, 139311, Singapore",Singapore,Central,3,Fine Dining,103.7960641,1.2942933,9177 9993,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ce-soir,https://cesoir.com.sg,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Ce Soir wins kudos not only for its impossibly romantic floral theme and all things botanical, but also for its deftly crafted French fare with distinct Asian notes. Inspired by the chef's childhood memories, a recent iteration of the menu prominently featuring Japanese produce is presented as a scrapbook. Each and every course of the lunch set and dinner tasting menus is visually stunning, with seafood being a definite highlight.",A,0,28,4.89,excellent,0.5739,excellent,0.8236,good,0.9435,4.11,4.64,4.29
Chai Chuan Tou Yang Rou Tang,ChIJmf03430Z2jERDoCj3LvUSQw,"115 Bukit Merah View Market & Hawker Centre, #01-51, Blk 115 Bukit Merah View, 151115, Singapore",Singapore,Central,1,Street Food,103.8220326,1.2856243,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/chai-chuan-tou-yang-rou-tang,https://maps.app.goo.gl/oEvT477kWRpCq5wZ8,Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","The mutton soup here can be paired with tripe, meatballs, tendon or even brain. The mutton boasts the right mix of fatty and lean meat, without tasting gamey. The broth has a mildly herbal flavour. Come early as they tend to sell out.",A,0,24,4.5,good,0.6569,excellent,0.5495,good,0.9229,3.83,4.5,3.96
Chef Kang's Noodle House,ChIJWwDgCSwX2jERf0TwOrbK2xA,"Blk C, #01-34, Jackson Square, 11 Lorong 3 Toa Payoh, 319579, Singapore",Singapore,Central,1,Street Food,103.8485929,1.3372466,8280 2782,https://guide.michelin.com/en/singapore-region/singapore/restaurant/chef-kang-s-noodle-house,https://www.chef-kang.com/noodle-house,Bib Gourmand,"Dine-in,Takeaway,Outdoor seating,Coffee,Wheelchair accessible","This joint specialises in noodle soup with wontons and char siu – the springy noodles are shipped from Hong Kong; the lightly charred pork has layers of fat and lean meat. For extra texture and flavour, order shredded abalone on top.",A,0,26,4.0,good,0.6062,excellent,0.43,good,0.9157,3.77,4.31,3.96
